	epr_3_UM+20_H_A-B	epr_3_UM0_H_A-B	epr_3_UM0_V_A-B	epr_3_UM-20_H_A-B	epr_3_UM-20_V_A-B	
-90	-9,17	-9,55	-20,08	-10,93	-15,87	
-82,5	-9,17	-9,55	-20,08	-10,93	-15,87	
-82,5	-8,80	-11,17	-18,31	-14,87	-19,20	
-67,5	-8,80	-11,17	-18,31	-14,87	-19,20	
-67,5	-19,04	-25,59	-20,64	-27,62	-22,87	
-52,5	-19,04	-25,59	-20,64	-27,62	-22,87	
-52,5	-20,93	-27,61	-17,62	-24,48	-19,66	
-37,5	-20,93	-27,61	-17,62	-24,48	-19,66	
-37,5	-16,83	-13,46	-10,03	-14,97	-8,12	
-22,5	-16,83	-13,46	-10,03	-14,97	-8,12	
-22,5	-20,90	-18,12	-14,14	-19,71	-13,33	
-7,5	-20,90	-18,12	-14,14	-19,71	-13,33	
-7,5	-9,44	-15,78	-11,00	-11,52	-7,04	
7,5	-9,44	-15,78	-11,00	-11,52	-7,04	
7,5	-21,17	-18,84	-13,56	-19,42	-12,90	
22,5	-21,17	-18,84	-13,56	-19,42	-12,90	
22,5	-16,43	-13,46	-11,30	-15,02	-9,39	
37,5	-16,43	-13,46	-11,30	-15,02	-9,39	
37,5	-20,85	-27,11	-17,58	-24,25	-19,46	
52,5	-20,85	-27,11	-17,58	-24,25	-19,46	
52,5	-19,52	-27,15	-21,53	-27,99	-24,10	
67,5	-19,52	-27,15	-21,53	-27,99	-24,10	
67,5	-8,22	-10,44	-19,13	-13,75	-20,29	
82,5	-8,22	-10,44	-19,13	-13,75	-20,29	
82,5	-9,88	-10,25	-20,66	-11,65	-16,31	
90	-9,88	-10,25	-20,66	-11,65	-16,31	
