	epr_3_UM+20_H_A-B	epr_3_UM+20_V_A-B	epr_3_UM0_H_A-B	epr_3_UM0_V_A-B	epr_3_UM-20_H_A-B	epr_3_UM-20_V_A-B	
0	-15.25	-18.11	-17.96	-12.59	-17.01	-11.57	
15	-15.25	-18.11	-17.96	-12.59	-17.01	-11.57	
15	-21.17	-21.60	-15.48	-11.39	-18.23	-10.45	
30	-21.17	-21.60	-15.48	-11.39	-18.23	-10.45	
30	-20.20	-20.09	-22.25	-15.34	-21.69	-16.93	
45	-20.20	-20.09	-22.25	-15.34	-21.69	-16.93	
45	-20.27	-20.99	-28.20	-19.17	-26.80	-22.09	
60	-20.27	-20.99	-28.20	-19.17	-26.80	-22.09	
60	-17.09	-19.23	-21.74	-20.54	-26.62	-22.45	
75	-17.09	-19.23	-21.74	-20.54	-26.62	-22.45	
75	-7.39	-18.03	-8.38	-19.81	-9.97	-16.75	
90	-7.39	-18.03	-8.38	-19.81	-9.97	-16.75	
90	0.00	0.00	0.00	0.00	0.00	0.00	
105	0.00	0.00	0.00	0.00	0.00	0.00	
105	0.00	0.00	0.00	0.00	0.00	0.00	
120	0.00	0.00	0.00	0.00	0.00	0.00	
120	0.00	0.00	0.00	0.00	0.00	0.00	
135	0.00	0.00	0.00	0.00	0.00	0.00	
135	0.00	0.00	0.00	0.00	0.00	0.00	
150	0.00	0.00	0.00	0.00	0.00	0.00	
150	0.00	0.00	0.00	0.00	0.00	0.00	
165	0.00	0.00	0.00	0.00	0.00	0.00	
165	0.00	0.00	0.00	0.00	0.00	0.00	
90	0.00	0.00	0.00	0.00	0.00	0.00	
